id,name,lastBackup,url
"179854965483856","اربد - Irbid",2014-05-07T14:05:10Z,"irbid1"
"603408446342557","تنسيقية مدينة دوما - لجان التنسيق المحلية",2014-05-07T14:11:14Z,"Douma.Revolution.lcc"
"215370951827725","سما الشام",2014-05-07T14:04:28Z,"Saama.Al.Sham"
"135492153291427","اخبار الثورة في بانياس",2014-05-07T14:04:08Z,"Syrian.SANA.Banias"
"164596543732284","تنسيقية الثورة السورية في حي كفرسوسة بدمشق",2014-05-07T14:03:29Z,"Kafarsousah.Revolution3"
"236004376478750","Ayn Al Tineh شبكة عين التينة",2014-05-07T16:02:39Z,"236004376478750"
"1447198438829214","تنسيقية مصياف/صفحة بديلة",2014-05-07T14:04:33Z,"Masyaf.Coordinating2"
"147830055265785","Elettronica, computer vision e ai",2014-05-07T16:02:30Z,"flaviobernardotti"
"277398655701725","המוסד למודיעין ולתפקידים מיוחדים (Mossad)",2014-05-07T14:13:54Z,"IsraeliMossadNews"
"1068038862","Ali Damas",2014-05-07T14:04:12Z,"mas166"
"616478328390912","Methods of intelligence open source",2014-05-07T14:03:03Z,"616478328390912"
"1409472375948127","الدكتور إياد قنيبى الصفحة الرسمية",2014-05-07T16:01:32Z,"eyadqunaibi"
"252230878178319","جايــــــــــــــيـــــــــــــــــــنــــــــــــــــــــــــك",2014-05-07T14:13:27Z,"jaeenk"
"208801355858052","Mafi Metlo",2014-05-07T14:03:08Z,"MafiMetloProgram"
"256545651058366","ثوار درعا المحطة - طريق السد",2014-05-07T14:09:04Z,"almahatadaraasaad"
"1428940883988816","نهفات داعشية xd",2014-05-07T14:11:48Z,"1428940883988816"
"151271931596606","الدكتور فيصل القاسم",2014-05-07T14:03:26Z,"falkasim"
"431786250194574","درعا أم اليتامى / صور",2014-05-07T14:03:14Z,"Daraa.UmAlytama.photo"
"634854053229636","تنسيقية درعا المحطة - الثورة السورية في درعا",2014-05-07T14:11:35Z,"DaraaAlmahataCordination"
"161099980703221","Bajarê Qamişlo - مدينة قامشلو",2014-05-07T16:02:38Z,"QamishloPage"
"206967226093576","الثورة الصينية ضد طاغية الصين the Chinese revolution",2014-05-07T16:00:31Z,"comedy.and.comedy2"
"508266855915510","مدينة إنخل inkhel city",2014-05-07T14:11:52Z,"daraa.inhkel.city"
"106660816204249","روائع الأدب و الفن الملتزم",2014-05-07T14:11:10Z,"a4animoltazma"
"157260631004823","كلنا شركاء في الوطن - All4SYRIA",2014-05-07T14:00:59Z,"All4SYRIA.info"
"100003656643001","Abo Abode",2014-05-07T14:11:27Z,"abo.abode.16"
"475987315810466","مخيم اليرموك نيوز",2014-05-07T16:02:36Z,"yarmok.news"
"100004561963309","Samar Sham",2014-05-07T14:11:32Z,"salam.sham.96"
"100003040338391","Mansour Al-Omari",2014-05-07T14:04:48Z,"mans.omary.5"
"175395895841839","We All Horan Martyrs",2014-05-07T14:10:42Z,"We.All.Horan.Martyrs"
"100002038572675","Khaled Zughayyar",2014-05-07T14:04:22Z,"khaled.ezzughayyar"
"100000654630148","Molham Homs",2014-05-07T14:04:34Z,"nicolai.cage"
"800585496625124","بطاقة شهيد Martyr card",2014-05-07T14:12:47Z,"Martyr.card"
"227350007386357","يوميات الثائر المتفائل",2014-05-07T14:05:24Z,"Optimistic.revolutionary"
"167620983308199","شرفاء محافظة الحسكة",2014-05-07T14:12:23Z,"HONESTHASAKAPROVINCE"
"431202950339869","المجلس المحلي لمدينة داريا-Local Council of Daraya City",2014-05-07T14:06:04Z,"daraya.lc"
"212454985551205","عدسة شاب تافه | Lens young Silly",2014-05-07T14:05:24Z,"lensYoungsillysyr"
"478963685467285","كاميرات لأجل سوريا | Cam4Syria",2014-05-07T14:04:43Z,"Cam4Syria"
"1459469850941538","تنسيقية الثورة السورية في حي المهاجرين- دمشق",2014-05-07T16:02:05Z,"Muhajereen.coordinating"
"602807036459578","موقع الحل السوري",2014-05-07T14:12:15Z,"7al.me"
"157325417752389","المبادرة الوطنية لأحرار الداخل في سوريا",2014-05-07T16:02:29Z,"AlmbadratAlwtnyaLahrarAldakhilFySwrya"
"145605272242389","اتحاد  تنسيقيات الثوره",2014-05-07T14:04:45Z,"AthadTnsyqyatAlthwrh"
"366339976728847","تنسيقية عقربا _ الثورة السورية في ريف دمشق",2014-05-07T14:10:48Z,"Coordinating.Aqraba"
"247970625336306","عدسة شاب نخيلي",2014-05-07T14:04:38Z,"inn.lens"
"275340442510974","شهداء الثورة السورية Syrian martyrs of the revolution",2014-05-07T14:12:19Z,"syrian.martyrs.revolution"
"231586016874625","شهداء الثورة السورية منذ بداية الثورة",2014-05-07T14:12:14Z,"Freeabazeed"
"175739265897278","شبكة الاوتار الاخبارية لأخبار الثورة السورية",2014-05-07T14:10:38Z,"alawtarnews"
"182534288549792","Syria Event",2014-05-07T14:10:20Z,"Syria.Event.1"
"289130404554256","صرخة معتقل بانياسي",2014-05-07T14:04:48Z,"baniase.voice"
"132140800303029","شهداء حي كرم الزيتون بحمص",2014-05-07T14:11:38Z,"Martyrs.Karmalzeton"
"687451317938405","المكتب الطبي في مدينة إنخل",2014-05-07T14:10:33Z,"Medical.Corps.Enkhel"
"512019025526900","كلنا الشهيد البطل بلال الفروان",2014-05-07T14:05:23Z,"belal.alfarwan1inkhel2daraa"
"258610770833474","تنسيقية الحسكة الموحدة",2014-05-07T14:04:47Z,"uni.hassake.rev"
"238496152965433","خربطنا نبلش :$",2014-05-07T14:04:38Z,"5rbtna.nbl4"
"216013721785128","Syria Alshaab Channel فضائية سوريا الشعب",2014-05-07T14:11:46Z,"alshaab.sy"
"215382651806380","S.N.N | شبكة شام الإخبارية",2014-05-07T14:05:49Z,"shaamsnn"
"208739389292262","منبر إدلب الإعلامي  Edlib Media Tribune",2014-05-07T14:13:43Z,"edlib.m.t"
"245325925477570","شبكة أخبار إدلب E.N.N",2014-05-07T14:08:06Z,"Edlib.News.Network"
"383332271737614","تصاميم و صور شهداء داريا",2014-05-07T14:05:44Z,"383332271737614"
"454550991252422","كلنا الشهيدة الطفلة ريماس ثائر القطيفان",2014-05-07T14:04:59Z,"remasalqtephan"
"517981588280105","كلنا الشهيد البطل علاء الفروان",2014-05-07T16:02:24Z,"517981588280105"
"170467749783322","كـتـيـبـة مـجـاهـدي حـوران",2014-05-07T16:01:43Z,"Ktybt.MjahdyHwran"
"561131756","Ousama Bakir",2014-05-07T16:00:22Z,"ousama.bakir"
"611359342234069","لواء المقداد بن عمرو",2014-05-07T14:05:03Z,"AlMiqdad.Brigade4"
"203016749740000","كبريت",2014-05-07T14:07:53Z,"kebreet"
"243475875706713","Syrian Freedom",2014-05-07T16:00:29Z,"SyrianFreedom2012"
"241700059198885","Homs Free Congregation (English)",2014-05-07T14:03:50Z,"Homs.Free.Congregation.En"
"417260205030684","لطالبي اللجوء والهجرة الى كندا وبريطانيا سوريين حصراً",2014-05-07T14:13:22Z,"417260205030684"
"100002126405112","Ameen Alshawaf",2014-05-07T14:04:17Z,"ameen.alshawaf.3"
"303229416478115","أخبار قرية بغديك",2014-05-07T14:04:43Z,"ancamagondibeghdiki"
"103523706349864","احلام مستغانمى",2014-05-07T14:02:41Z,"Ahlam.Mostghanemi"
"155718381214948","Havoc Arts | فنون من قلب الفوضى",2014-05-07T14:13:39Z,"abo.jacoub"
"100004980551494","Moustafa Jacoub",2014-05-07T14:06:42Z,"moustafa.jacoub"
"100001075322217","Janis Mucenieks",2014-05-07T14:13:03Z,"test23"
